FullStreetName,file,n_points,n_inlets,n_sags,n_served,n_unserved,length_m,kb
SOUTHFRONT LN,SOUTHFRONT_LN.html,96,2,0,0,0,95.6,36.9
VIA SEVILLE,VIA_SEVILLE.html,212,2,0,0,0,210.2,42.1
VIA JOSE,VIA_JOSE.html,170,2,0,0,0,168.5,40.2
LINWOOD CM,LINWOOD_CM.html,59,2,0,0,0,57.7,34.8
LINDBERGH AV,LINDBERGH_AV.html,856,2,2,0,2,856.0,77.4
LIDO DR,LIDO_DR.html,489,2,0,0,0,486.9,54.9
LIBRA CT,LIBRA_CT.html,104,2,0,0,0,102.4,37.0
NELDA WY,NELDA_WY.html,94,2,0,0,0,93.3,36.6
DUKE WY,DUKE_WY.html,238,2,0,0,0,236.6,43.0
NORMANDY CT,NORMANDY_CT.html,53,2,1,1,0,52.4,40.6
NOKOTA CM,NOKOTA_CM.html,375,2,0,0,0,373.7,49.7
ELAINE AV,ELAINE_AV.html,499,2,0,0,0,496.3,54.7
BLACKOAK CT,BLACKOAK_CT.html,67,2,0,0,0,65.8,35.0
SUNFLOWER CT,SUNFLOWER_CT.html,842,2,0,0,0,835.9,70.2
SUNBURST LN,SUNBURST_LN.html,177,2,0,0,0,176.3,40.5
SUMMERHOUSE CM,SUMMERHOUSE_CM.html,42,2,0,0,0,41.3,33.8
BRIARWOOD CT,BRIARWOOD_CT.html,98,2,0,0,0,97.2,36.6
DOOLAN RD,DOOLAN_RD.html,654,2,0,0,0,650.0,62.4
BRESSO CT,BRESSO_CT.html,119,2,0,0,0,117.9,37.5
ARMSTRONG ST,ARMSTRONG_ST.html,343,2,0,0,0,340.4,54.2
GREENS CT,GREENS_CT.html,88,2,0,0,0,87.7,36.2
GREENHILLS CT,GREENHILLS_CT.html,50,2,1,1,0,48.7,40.5
DAHLIA CM,DAHLIA_CM.html,26,2,0,0,0,24.7,32.7
CYPRESS POINT DR,CYPRESS_POINT_DR.html,169,2,0,0,0,168.2,39.7
PICKFAIR LN,PICKFAIR_LN.html,309,2,0,0,0,308.2,47.3
PHYLLIS CT,PHYLLIS_CT.html,106,2,0,0,0,105.1,36.9
PHLOX WY,PHLOX_WY.html,80,2,0,0,0,79.2,35.7
PESTANA PL,PESTANA_PL.html,35,2,0,0,0,33.5,33.4
PESARO WY,PESARO_WY.html,133,2,0,0,0,132.6,38.4
BROADMOOR CT,BROADMOOR_CT.html,38,2,0,0,0,36.6,33.2
GRAPE LEAF LN,GRAPE_LEAF_LN.html,88,2,0,0,0,132.2,36.3
LEE AV,LEE_AV.html,430,2,0,0,0,424.8,51.7
LEE ANN CI,LEE_ANN_CI.html,284,2,0,0,0,283.5,44.9
LEAHY WY,LEAHY_WY.html,822,2,2,1,1,818.3,81.5
LE BLANC CT,LE_BLANC_CT.html,31,2,0,0,0,29.8,33.1
LAWSON CT,LAWSON_CT.html,53,2,0,0,0,51.8,40.7
VINE CT,VINE_CT.html,98,2,0,0,0,97.4,36.7
VILLAGE GREEN DR,VILLAGE_GREEN_DR.html,165,2,0,0,0,164.1,39.7
STERLING CT,STERLING_CT.html,49,2,0,0,0,48.3,40.7
DELAWARE WY,DELAWARE_WY.html,646,2,0,0,0,640.9,61.3
OVERLAKE AV,OVERLAKE_AV.html,65,2,0,0,0,63.9,35.1
ORION CT,ORION_CT.html,66,2,0,0,0,64.9,34.9
SPRINGTIME CM,SPRINGTIME_CM.html,47,2,0,0,0,46.3,40.4
PARKVIEW CM,PARKVIEW_CM.html,233,2,0,0,0,232.2,43.1
PALM AV,PALM_AV.html,547,2,0,0,0,540.8,57.0
PACIFIC AV,PACIFIC_AV.html,709,2,0,0,0,703.6,63.1
DIAMOND CT,DIAMOND_CT.html,82,2,0,0,0,81.3,35.8
DE SOTO WY,DE_SOTO_WY.html,260,2,1,1,0,257.7,50.3
DAWN ST,DAWN_ST.html,238,2,0,0,0,236.1,42.6
PEPPERTREE PL,PEPPERTREE_PL.html,96,2,0,0,0,95.1,36.7
ORANGE WY,ORANGE_WY.html,109,2,0,0,0,108.6,37.3
LAMBETH RD,LAMBETH_RD.html,140,2,0,0,0,137.5,39.0
LAKEHURST RD,LAKEHURST_RD.html,311,2,1,1,0,308.3,52.4
HARVARD CT,HARVARD_CT.html,78,2,0,0,0,76.8,35.6
ASPEN CT,ASPEN_CT.html,52,2,0,0,0,50.4,34.1
STACY CT,STACY_CT.html,36,2,0,0,0,35.0,33.4
SPYGLASS HILLS RD,SPYGLASS_HILLS_RD.html,278,2,0,0,0,273.3,44.7
ABALONE PL,ABALONE_PL.html,71,2,0,0,0,70.5,34.8
WILLIAM DR,WILLIAM_DR.html,242,2,0,0,0,239.4,43.2
ANDALUCIA ST,ANDALUCIA_ST.html,82,2,0,0,0,81.1,35.8
INDIGO CM,INDIGO_CM.html,27,2,0,0,0,26.1,32.9
HUDSON WY,HUDSON_WY.html,398,2,0,0,0,396.2,49.9
CARLSBAD CT,CARLSBAD_CT.html,37,2,0,0,0,36.0,33.4
CARLA ST,CARLA_ST.html,337,2,0,0,0,335.3,47.6
ZINNIA CT,ZINNIA_CT.html,122,2,0,0,0,121.3,37.8
ZINFANDEL CT,ZINFANDEL_CT.html,34,2,0,0,0,33.2,33.3
ZERMATT ST,ZERMATT_ST.html,84,2,0,0,0,83.6,36.0
ZEPPELIN DR,ZEPPELIN_DR.html,94,2,1,1,0,92.6,42.7
ZEPHYR PL,ZEPHYR_PL.html,51,2,0,0,0,50.4,34.3
HOLLICE CT,HOLLICE_CT.html,111,2,0,0,0,109.6,37.3
HILLSTONE DR,HILLSTONE_DR.html,164,2,0,0,0,161.6,40.1
JACQUILINE WY,JACQUILINE_WY.html,244,2,0,0,0,242.2,43.4
CASCATA CT,CASCATA_CT.html,56,2,0,0,0,55.0,34.4
SAUVIGNON CT,SAUVIGNON_CT.html,37,2,0,0,0,36.2,33.4
CATALINA CT,CATALINA_CT.html,137,1,0,0,0,132.9,38.0
S R ST,S_R_ST.html,86,1,0,0,0,85.3,36.0
ISABEL OFF I580 WB,ISABEL_OFF_I580_WB.html,760,1,1,0,1,760.4,74.3
IVORY PL,IVORY_PL.html,28,1,0,0,0,26.8,32.8
HILLSTONE CT,HILLSTONE_CT.html,63,1,0,0,0,62.0,34.8
HOLLICE LN,HOLLICE_LN.html,396,1,0,0,0,391.7,49.4
ALGONQUIN AV,ALGONQUIN_AV.html,249,1,0,0,0,244.9,42.7
ALMADEN CT,ALMADEN_CT.html,89,1,0,0,0,88.3,36.0
CARDINAL DR,CARDINAL_DR.html,223,1,0,0,0,220.0,42.1
HUMBOLDT WY,HUMBOLDT_WY.html,395,1,0,0,0,394.0,49.8
HURON RD,HURON_RD.html,54,1,0,0,0,53.0,34.4
IDA CT,IDA_CT.html,31,1,0,0,0,30.2,33.0
INNSBRUCK ST,INNSBRUCK_ST.html,488,1,0,0,0,485.1,53.8
ANDREA CT,ANDREA_CT.html,92,1,0,0,0,91.4,36.1
ANN CT,ANN_CT.html,117,1,0,0,0,115.3,37.1
SPRUCE ST,SPRUCE_ST.html,566,1,0,0,0,564.0,58.0
ST CHARLES CT,ST_CHARLES_CT.html,85,1,0,0,0,83.8,36.2
ST MARY DR,ST_MARY_DR.html,201,1,0,0,0,200.0,41.1
ASBURY CT,ASBURY_CT.html,45,1,0,0,0,44.3,33.6
ASTI CT,ASTI_CT.html,120,1,0,0,0,118.5,37.5
HARVEST PL,HARVEST_PL.html,73,1,0,0,0,71.3,35.4
LAMBAREN AV,LAMBAREN_AV.html,599,1,0,0,0,596.0,59.3
LASSEN RD,LASSEN_RD.html,173,1,0,0,0,170.6,40.6
STADIUM WY,STADIUM_WY.html,62,1,0,0,0,61.0,34.9
PAVO CT,PAVO_CT.html,92,1,0,0,0,90.7,36.1
PEDROZZI CM,PEDROZZI_CM.html,284,1,1,0,1,283.4,51.7
PEGASUS CM,PEGASUS_CM.html,185,1,0,0,0,181.9,40.8
DIANE CT,DIANE_CT.html,32,1,0,0,0,30.5,32.8
PAULA CT,PAULA_CT.html,37,1,0,0,0,35.6,33.4
BROOKDALE CT,BROOKDALE_CT.html,69,1,0,0,0,68.6,34.9
BROOKFIELD DR,BROOKFIELD_DR.html,385,1,0,0,0,384.2,49.2
BROOKVIEW CT,BROOKVIEW_CT.html,97,1,0,0,0,96.2,36.4
ORCHARD WY,ORCHARD_WY.html,82,1,0,0,0,81.1,35.9
ORINDA CT,ORINDA_CT.html,26,1,0,0,0,24.7,32.7
OSLO CT,OSLO_CT.html,95,1,0,0,0,93.9,36.6
LE HAVRE CT,LE_HAVRE_CT.html,47,1,0,0,0,45.6,33.8
ATHOS CM,ATHOS_CM.html,49,1,0,0,0,46.9,34.0
BRIDGEPORT CI,BRIDGEPORT_CI.html,503,1,0,0,0,502.5,54.3
BRIDLE CT,BRIDLE_CT.html,173,1,0,0,0,171.3,40.1
BRITTANY PL,BRITTANY_PL.html,37,1,0,0,0,36.3,33.2
DEL NORTE CT,DEL_NORTE_CT.html,18,1,0,0,0,16.8,32.1
DAFFODIL WY,DAFFODIL_WY.html,270,1,1,0,1,266.7,50.5
DAISY LN,DAISY_LN.html,199,1,0,0,0,198.1,41.0
DAISYFIELD CT,DAISYFIELD_CT.html,58,1,0,0,0,57.3,34.4
GROSVENOR HEIGHTS CT,GROSVENOR_HEIGHTS_CT.html,52,1,0,0,0,50.8,34.4
GUILFORD PL,GUILFORD_PL.html,60,1,0,0,0,58.8,34.6
BOBWHITE RD,BOBWHITE_RD.html,74,1,0,0,0,72.6,35.3
BODEGA AV,BODEGA_AV.html,80,1,0,0,0,79.2,35.4
BOEING CT,BOEING_CT.html,117,1,0,0,0,116.5,37.2
BORDEAUX ST,BORDEAUX_ST.html,339,1,0,0,0,336.4,47.2
BRANSON WY,BRANSON_WY.html,205,1,0,0,0,202.5,41.8
OLD TOWER RD,OLD_TOWER_RD.html,305,1,1,1,0,302.3,52.5
SUNDOWN RD,SUNDOWN_RD.html,39,1,0,0,0,37.6,33.5
LEONA DR,LEONA_DR.html,370,1,0,0,0,368.4,48.7
LILAC AV,LILAC_AV.html,472,1,0,0,0,471.7,53.2
SONOMA CT,SONOMA_CT.html,120,1,0,0,0,118.6,37.7
SPRINGHAVEN ST,SPRINGHAVEN_ST.html,38,1,0,0,0,36.6,33.4
HELEN WY,HELEN_WY.html,272,1,0,0,0,271.1,44.7
HELGA CT,HELGA_CT.html,54,1,0,0,0,53.3,34.4
LA CRESTA CT,LA_CRESTA_CT.html,56,1,0,0,0,54.6,34.4
LA PRADA CT,LA_PRADA_CT.html,56,1,0,0,0,54.6,34.4
LAGRANGE CT,LAGRANGE_CT.html,57,1,0,0,0,56.0,34.5
HALIFAX RD,HALIFAX_RD.html,82,1,0,0,0,81.1,36.0
HARDING AV,HARDING_AV.html,202,1,0,0,0,200.7,41.8
HARTFORD AV,HARTFORD_AV.html,411,1,0,0,0,410.0,50.3
VILANA ST,VILANA_ST.html,296,1,1,0,1,291.3,52.4
NICOBRIA LN,NICOBRIA_LN.html,34,1,0,0,0,32.8,33.2
EGRET RD,EGRET_RD.html,323,1,0,0,0,320.1,46.8
BLUEGRASS CT,BLUEGRASS_CT.html,66,1,0,0,0,65.1,34.9
TAHOE CT,TAHOE_CT.html,41,1,0,0,0,39.4,33.7
CRANE AV,CRANE_AV.html,252,1,1,0,1,250.1,49.3
CREEK RD,CREEK_RD.html,280,1,1,0,1,277.4,50.8
CROSSROADS PL,CROSSROADS_PL.html,85,1,0,0,0,83.8,35.6
POPLAR CT,POPLAR_CT.html,71,1,0,0,0,69.4,35.4
POPPY WY,POPPY_WY.html,64,1,0,0,0,63.1,34.9
CORONADO CT,CORONADO_CT.html,56,1,0,0,0,54.6,34.2
CORTE CAVA,CORTE_CAVA.html,82,1,0,0,0,80.4,35.6
DAKOTA CT,DAKOTA_CT.html,68,1,0,0,0,67.3,34.8
PINON CT,PINON_CT.html,47,1,0,0,0,45.7,34.0
PLACENZA ST,PLACENZA_ST.html,155,1,0,0,0,152.1,39.0
PLEASANT AV,PLEASANT_AV.html,164,1,1,1,0,163.1,45.7
BENTLEY PL,BENTLEY_PL.html,29,1,0,0,0,28.4,32.8
NADINE ST,NADINE_ST.html,376,1,0,0,0,374.1,49.5
NAPA CT,NAPA_CT.html,58,1,0,0,0,57.1,34.6
NB AIRWAY ON I580 EB,NB_AIRWAY_ON_I580_EB.html,98,1,0,0,0,97.7,37.1
BERLIN WY,BERLIN_WY.html,351,1,1,0,1,347.0,54.6
BAYLOR WY,BAYLOR_WY.html,234,1,0,0,0,233.8,42.4
PRESTON CT,PRESTON_CT.html,106,1,1,0,1,103.3,43.3
PURDUE WY,PURDUE_WY.html,204,1,0,0,0,203.3,41.3
WALKER PL,WALKER_PL.html,111,1,0,0,0,109.4,37.4
HAZEL ST,HAZEL_ST.html,826,1,0,0,0,822.0,69.4
FERNBROOK CM,FERNBROOK_CM.html,36,1,0,0,0,35.4,33.3
ESSEX ST,ESSEX_ST.html,363,1,0,0,0,359.6,48.5
LISBON AV,LISBON_AV.html,408,1,0,0,0,406.3,50.6
LIVORNO CT,LIVORNO_CT.html,73,1,0,0,0,72.2,35.3
LIVORNO ST,LIVORNO_ST.html,193,1,1,1,0,190.2,47.1
LOBELIA CT,LOBELIA_CT.html,85,1,0,0,0,84.2,35.8
GLENWOOD CT,GLENWOOD_CT.html,37,1,0,0,0,36.3,33.5
GLENWOOD ST,GLENWOOD_ST.html,144,1,0,0,0,142.5,38.9
LEEDS CT,LEEDS_CT.html,87,1,0,0,0,85.6,36.3
LELAND CT,LELAND_CT.html,26,1,0,0,0,25.4,32.7
FAIRVIEW CT,FAIRVIEW_CT.html,56,1,0,0,0,55.1,34.4
FIRST OFF I580 WB,FIRST_OFF_I580_WB.html,277,1,1,1,0,276.3,51.1
MISTY LN,MISTY_LN.html,93,1,0,0,0,92.3,36.6
MITRA ST,MITRA_ST.html,86,1,0,0,0,84.6,35.9
MOCHO ST,MOCHO_ST.html,474,1,0,0,0,472.1,53.1
MODOC PL,MODOC_PL.html,50,1,0,0,0,49.4,34.2
MOJAVE AV,MOJAVE_AV.html,301,1,0,0,0,300.0,46.3
CONTRACTORS CM,CONTRACTORS_CM.html,227,1,0,0,0,225.6,42.5
RACHELLE ST,RACHELLE_ST.html,129,1,0,0,0,127.3,37.9
RADCLIFFE RD,RADCLIFFE_RD.html,73,1,0,0,0,71.6,35.2
SKYLINKS CT,SKYLINKS_CT.html,102,1,0,0,0,101.2,36.7
CORTE GLORIETA,CORTE_GLORIETA.html,97,1,0,0,0,95.9,36.4
SILVER OAKS ST,SILVER_OAKS_ST.html,80,1,0,0,0,78.9,35.7
BUCKSKIN CT,BUCKSKIN_CT.html,50,1,0,0,0,49.4,33.9
REGINALD CT,REGINALD_CT.html,42,1,0,0,0,40.9,33.7
REGULUS CT,REGULUS_CT.html,52,1,0,0,0,51.0,34.2
RHODODENDRON CT,RHODODENDRON_CT.html,35,1,0,0,0,34.0,33.4
CLEVIS CM,CLEVIS_CM.html,228,1,0,0,0,287.9,42.5
COMPTON CT,COMPTON_CT.html,169,1,0,0,0,168.0,39.4
MOLLIE CT,MOLLIE_CT.html,49,1,0,0,0,47.7,34.1
MONTCLAIR CT,MONTCLAIR_CT.html,75,1,0,0,0,74.2,35.3
MOONFLOWER WY,MOONFLOWER_WY.html,196,1,0,0,0,195.2,41.1
BELFAST CT,BELFAST_CT.html,98,1,0,0,0,96.6,36.5
BELLA VISTA PL,BELLA_VISTA_PL.html,155,1,0,0,0,153.4,39.1
TETON CT,TETON_CT.html,43,1,0,0,0,42.1,33.8
VEGA RD,VEGA_RD.html,59,1,0,0,0,58.2,34.5
VENUS WY,VENUS_WY.html,414,1,0,0,0,413.4,51.3
VERDITE ST,VERDITE_ST.html,127,1,0,0,0,126.1,38.0
GRAHAM CT,GRAHAM_CT.html,67,1,0,0,0,66.2,34.9
LONDON WY,LONDON_WY.html,40,1,0,0,0,38.6,33.5
LORREN CT,LORREN_CT.html,37,1,0,0,0,35.7,33.5
CINDY CT,CINDY_CT.html,75,1,0,0,0,73.6,35.2
CALL OF THE WILD CT,CALL_OF_THE_WILD_CT.html,102,1,0,0,0,101.0,36.6
HIGH CASTLE CT,HIGH_CASTLE_CT.html,40,1,0,0,0,39.2,33.7
KEELER CT,KEELER_CT.html,53,1,0,0,0,51.8,34.2
KENT CT,KENT_CT.html,45,1,0,0,0,44.3,33.8
KEYSTONE WY,KEYSTONE_WY.html,349,1,0,0,0,348.7,48.3
KIM CT,KIM_CT.html,24,1,0,0,0,22.8,32.6
ARIES CT,ARIES_CT.html,105,1,0,0,0,103.6,36.8
SHELLEY ST,SHELLEY_ST.html,463,1,1,1,0,455.9,58.6
LORREN WY,LORREN_WY.html,331,1,0,0,0,327.0,47.2
LYDIA CT,LYDIA_CT.html,60,1,0,0,0,59.4,34.6
TIFFIN PL,TIFFIN_PL.html,59,1,0,0,0,57.9,34.7
TIGER LILY CM,TIGER_LILY_CM.html,57,1,0,0,0,56.3,34.6
MICHELL ST,MICHELL_ST.html,274,1,0,0,0,271.0,45.0
MIMOSA CT,MIMOSA_CT.html,29,1,0,0,0,28.0,32.9
MIRALOMA ST,MIRALOMA_ST.html,180,1,0,0,0,177.8,40.0
MIRANDA WY,MIRANDA_WY.html,344,1,0,0,0,343.2,48.0
BARCELONA ST,BARCELONA_ST.html,237,1,0,0,0,235.8,42.6
TOPAZ WY,TOPAZ_WY.html,203,1,0,0,0,202.1,41.4
SEQUOIA DR,SEQUOIA_DR.html,80,1,0,0,0,78.9,35.6
CAIRO ST,CAIRO_ST.html,237,1,1,1,0,235.5,48.6
CALAIS AV,CALAIS_AV.html,178,1,0,0,0,175.9,40.5
AMBER WY,AMBER_WY.html,409,1,0,0,0,404.1,50.1
JUDITH WY,JUDITH_WY.html,78,1,0,0,0,76.7,35.8
HERCULES CT,HERCULES_CT.html,92,1,0,0,0,90.7,36.0
CALCITE CT,CALCITE_CT.html,59,1,0,0,0,57.6,34.3
TOURMALINE CT,TOURMALINE_CT.html,42,1,0,0,0,41.3,33.6
TREVARNO RD,TREVARNO_RD.html,282,1,1,1,0,280.9,51.7
TRIAD DR,TRIAD_DR.html,135,1,0,0,0,134.2,38.6
TRINITY CI,TRINITY_CI.html,185,1,0,0,0,183.6,40.5
MELANIE CT,MELANIE_CT.html,16,1,0,0,0,15.2,32.2
MENDENHALL DR,MENDENHALL_DR.html,206,1,0,0,0,203.8,41.6
MERITAGE CM,MERITAGE_CM.html,312,1,0,0,0,311.0,47.4
MERRITT PL,MERRITT_PL.html,86,1,0,0,0,85.3,36.1
FLORIDA CT,FLORIDA_CT.html,137,1,0,0,0,136.2,38.4
FONTONETT PL,FONTONETT_PL.html,45,1,0,0,0,44.1,33.8
CHATSWORTH ST,CHATSWORTH_ST.html,47,1,0,0,0,46.1,33.8
ROVELLO LP,ROVELLO_LP.html,340,1,1,1,0,335.2,54.1
CAYUGA DR,CAYUGA_DR.html,160,1,0,0,0,158.2,39.1
ROMA CT,ROMA_CT.html,36,1,0,0,0,35.4,33.3
ROUNDHILL PL,ROUNDHILL_PL.html,36,1,0,0,0,34.5,33.7
CHARLOTTE CM,CHARLOTTE_CM.html,338,1,1,0,1,331.8,53.9
CANARY CT,CANARY_CT.html,92,1,0,0,0,90.8,36.2
FOXTAIL DR,FOXTAIL_DR.html,108,1,0,0,0,106.9,37.0
FRANC CM,FRANC_CM.html,33,1,0,0,0,32.3,33.2
FRANKFURT WY,FRANKFURT_WY.html,459,1,0,0,0,454.7,53.8
MAYVIEW WY,MAYVIEW_WY.html,493,1,0,0,0,492.7,55.0
MARIGOLD CT,MARIGOLD_CT.html,31,1,0,0,0,30.2,33.1
MARTINGALE CT,MARTINGALE_CT.html,79,1,0,0,0,78.6,35.7
FOX CREEK CT,FOX_CREEK_CT.html,85,1,0,0,0,83.5,35.8
CHANDLER CT,CHANDLER_CT.html,90,1,0,0,0,89.2,35.9
CAROLINE CT,CAROLINE_CT.html,89,1,0,0,0,88.4,35.8
CHASE CT,CHASE_CT.html,45,1,0,0,0,44.3,33.6
CHATEAU PL,CHATEAU_PL.html,78,1,0,0,0,77.0,35.3
HERMITAGE CT,HERMITAGE_CT.html,25,1,0,0,0,23.9,32.7
JADE PL,JADE_PL.html,102,1,0,0,0,101.3,36.8
JASMINE CT,JASMINE_CT.html,61,1,0,0,0,60.5,34.7
JEANNIE CT,JEANNIE_CT.html,47,1,0,0,0,45.5,34.0
GALAXY CT,GALAXY_CT.html,71,1,0,0,0,70.6,35.2
GALLOWAY CM,GALLOWAY_CM.html,274,1,1,0,1,311.2,51.1
LYRA CT,LYRA_CT.html,103,1,0,0,0,102.1,36.7
GATEWAY AV,GATEWAY_AV.html,271,1,1,0,1,270.3,51.0
GEMINI RD,GEMINI_RD.html,98,1,0,0,0,96.9,36.3
GIBRALTAR CM,GIBRALTAR_CM.html,155,1,0,0,0,150.2,39.6
AUTUMN LEAF CM,AUTUMN_LEAF_CM.html,43,1,0,0,0,41.9,33.5
AVA ST,AVA_ST.html,63,1,0,0,0,61.5,34.6
GANESHA CM,GANESHA_CM.html,80,1,0,0,0,79.2,35.7
SALEM CT,SALEM_CT.html,45,1,0,0,0,44.3,33.8
SALISBURY CT,SALISBURY_CT.html,64,1,0,0,0,63.1,34.9
CANTON AV,CANTON_AV.html,316,1,0,0,0,314.5,46.0
SAYBROOK RD,SAYBROOK_RD.html,314,1,0,0,0,312.3,46.3
SB FIRST OFF I580 WB,SB_FIRST_OFF_I580_WB.html,434,1,0,0,0,433.3,52.4
SB ISABEL ON I580 EB,SB_ISABEL_ON_I580_EB.html,716,1,1,0,1,715.3,71.3
SCHERMAN CT,SCHERMAN_CT.html,67,1,0,0,0,66.3,35.0
CALLE DEL SOL,CALLE_DEL_SOL.html,78,1,0,0,0,76.9,35.6
CAMBRIDGE WY,CAMBRIDGE_WY.html,191,1,0,0,0,188.8,40.5
GARDEN CM,GARDEN_CM.html,364,1,1,0,1,363.2,55.4
GARNET DR,GARNET_DR.html,354,1,0,0,0,351.7,48.5
BACCHUS CM,BACCHUS_CM.html,85,1,0,0,0,81.9,35.9
TURNSTONE DR,TURNSTONE_DR.html,569,1,0,0,0,563.9,57.0
VALLEY OF THE MOON PL,VALLEY_OF_THE_MOON_PL.html,110,1,0,0,0,108.9,37.2
YOSEMITE PL,YOSEMITE_PL.html,50,1,0,0,0,48.8,34.2
YUKON PL,YUKON_PL.html,63,1,0,0,0,62.1,34.8
ALVISO PL,ALVISO_PL.html,128,1,0,0,0,127.3,37.9
ALBERTA WY,ALBERTA_WY.html,86,1,0,0,0,85.3,35.4
WIMBLEDON LN,WIMBLEDON_LN.html,344,1,0,0,0,342.3,49.0
ABRUSCO CM,ABRUSCO_CM.html,232,1,1,0,1,229.9,49.2
ACCRA CT,ACCRA_CT.html,97,1,0,0,0,96.2,36.4
ALMANOR CT,ALMANOR_CT.html,110,1,0,0,0,108.5,36.7
ADORA CM,ADORA_CM.html,359,1,2,0,2,401.0,55.3
AGATE CT,AGATE_CT.html,30,1,0,0,0,29.0,32.7
AGATHA CT,AGATHA_CT.html,21,1,0,0,0,20.2,32.4
CARMEN AV,CARMEN_AV.html,192,1,0,0,0,191.1,40.9
SANDRA WY,SANDRA_WY.html,288,1,0,0,0,286.9,45.4
WILLOW CT,WILLOW_CT.html,35,0,0,0,0,33.5,22.7
A ST,A_ST.html,1467,0,1,0,1,1741.7,95.2
AARON ST,AARON_ST.html,139,0,0,0,0,138.5,27.8
ACACIA WY,ACACIA_WY.html,108,0,0,0,0,106.4,26.3
KALAPAKI CM,KALAPAKI_CM.html,72,0,1,0,1,69.7,31.4
JULIET CT,JULIET_CT.html,116,0,0,0,0,114.9,26.7
AMHERST WY,AMHERST_WY.html,234,0,0,0,0,233.8,31.9
AMBER CT,AMBER_CT.html,51,0,0,0,0,50.3,23.5
WESTGATE DR,WESTGATE_DR.html,1577,0,2,0,2,2038.6,99.1
WESTERN AV,WESTERN_AV.html,147,0,0,0,0,144.4,28.2
WESTBROOK PL,WESTBROOK_PL.html,29,0,0,0,0,27.6,22.4
WESTBROOK LN,WESTBROOK_LN.html,351,0,0,0,0,346.9,37.9
ARDMORE PL,ARDMORE_PL.html,74,0,0,0,0,73.1,24.6
KERN CT,KERN_CT.html,76,0,0,0,0,75.5,25.0
KATHY CT,KATHY_CT.html,134,0,0,0,0,132.3,27.9
HIGUERA CT,HIGUERA_CT.html,45,0,0,0,0,44.5,23.4
HEIDI CT,HEIDI_CT.html,16,0,0,0,0,15.2,21.6
HEIDELBERG CT,HEIDELBERG_CT.html,30,0,0,0,0,29.0,22.5
HAZELWOOD CM,HAZELWOOD_CM.html,27,0,0,0,0,26.4,22.3
HAVASU CT,HAVASU_CT.html,69,0,0,0,0,67.6,24.5
COLGATE WY,COLGATE_WY.html,316,0,0,0,0,314.5,35.8
CALAIS CT,CALAIS_CT.html,43,0,0,0,0,42.0,23.1
SHAWNEE RD,SHAWNEE_RD.html,154,0,0,0,0,153.1,28.4
SERENIDAD ST,SERENIDAD_ST.html,114,0,0,0,0,111.4,26.5
SEMINOLE DR,SEMINOLE_DR.html,288,0,0,0,0,287.7,34.0
ROSEWOOD CT,ROSEWOOD_CT.html,31,0,0,0,0,30.4,22.6
CLAREMONT WY,CLAREMONT_WY.html,156,0,0,0,0,154.5,28.3
ROXANNE CT,ROXANNE_CT.html,56,0,0,0,0,55.0,23.9
CHEROKEE DR,CHEROKEE_DR.html,288,0,0,0,0,287.7,34.0
CHECKERBLOOM CM,CHECKERBLOOM_CM.html,188,0,0,0,0,182.9,30.3
CARRARA CT,CARRARA_CT.html,44,0,0,0,0,42.7,23.2
S PORTAL DR,S_PORTAL_DR.html,1069,0,0,0,0,1066.0,71.7
S OUTER LOOP,S_OUTER_LOOP.html,1291,0,0,0,0,1334.0,80.2
S OAK ST,S_OAK_ST.html,110,0,0,0,0,109.0,26.7
S INNER LOOP,S_INNER_LOOP.html,669,0,1,0,1,693.5,58.4
CHALMETTE CT,CHALMETTE_CT.html,25,0,0,0,0,24.4,22.1
CLEO CT,CLEO_CT.html,57,0,0,0,0,56.2,23.9
CLARKE AV,CLARKE_AV.html,300,0,0,0,0,298.7,35.3
RICE ST,RICE_ST.html,42,0,0,0,0,40.8,23.1
REGENT PL,REGENT_PL.html,74,0,0,0,0,73.5,24.8
BUCKNELL CT,BUCKNELL_CT.html,63,0,0,0,0,62.1,24.0
BRUTUS CM,BRUTUS_CM.html,65,0,0,0,0,64.3,24.4
SIERRA CT,SIERRA_CT.html,44,0,0,0,0,43.2,23.3
SHIRE CT,SHIRE_CT.html,66,0,0,0,0,65.3,24.4
SHIRAZ CM,SHIRAZ_CM.html,151,0,0,0,0,150.3,28.7
SHERRY WY,SHERRY_WY.html,433,0,0,0,0,430.3,41.3
CALL OF THE WILD WY,CALL_OF_THE_WILD_WY.html,171,0,0,0,0,169.8,29.4
CHRIS CM,CHRIS_CM.html,113,0,0,0,0,111.4,26.6
CHESTNUT CM,CHESTNUT_CM.html,34,0,0,0,0,32.9,22.6
ROBERTSON PARK CT,ROBERTSON_PARK_CT.html,120,0,0,0,0,119.0,27.0
ROBERT WY,ROBERT_WY.html,162,0,0,0,0,160.1,29.1
ROAN CT,ROAN_CT.html,60,0,0,0,0,59.1,24.1
CORTEZ CT,CORTEZ_CT.html,44,0,0,0,0,42.7,23.1
CORTESE CM,CORTESE_CM.html,57,0,0,0,0,55.7,23.9
CORTE REINA CM,CORTE_REINA_CM.html,55,0,0,0,0,53.7,23.7
CABRILLO AV,CABRILLO_AV.html,262,0,0,0,0,261.9,33.2
C ST,C_ST.html,864,0,1,0,1,855.7,67.3
BUTTERCUP CT,BUTTERCUP_CT.html,106,0,0,0,0,105.5,26.3
